Date,IGE Open,IGE High,IGE Low,IGE Close,IGE Adj Close,IGE Volume,BWZ Open,BWZ High,BWZ Low,BWZ Close,BWZ Adj Close,BWZ Volume
26/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.56,11.99,11.56,11.99,5.924693,6400
27/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.9,11.99,11.84,11.98,5.919751,18900
28/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.66,11.66,11.34,11.49,5.677625,64800
29/11/2001,15.168333,15.168333,15.168333,15.168333,9.939946,0,11.3,11.35,11.1,11.11,5.489851,49400
30/11/2001,15.22,15.22,15.22,15.22,9.973797,600,11,11.39,10.8,11.29,5.578797,29800
03/12/2001,15.22,15.22,15.22,15.22,9.973797,0,11.3,11.82,11.3,11.64,5.751746,757400
04/12/2001,15.44,15.44,15.44,15.44,10.11797,600,12,12.09,11.8,11.84,5.850574,13800
05/12/2001,15.44,15.44,15.44,15.44,10.11797,0,12.01,12.08,11.77,12.04,5.949399,26500
06/12/2001,15.686667,15.686667,15.686667,15.686667,10.279614,1200,12.07,12.25,12.07,12.23,6.043285,7100
07/12/2001,15.45,15.45,15.356667,15.356667,10.063359,1800,12.2,12.43,12.2,12.24,6.048227,156200
10/12/2001,15.356667,15.356667,15.356667,15.356667,10.063359,0,12.3,12.39,12.12,12.39,6.122347,3000
11/12/2001,15.125,15.125,15.125,15.125,9.911544,1200,12.35,12.49,12.2,12.39,6.122347,120600
12/12/2001,15.05,15.05,15.008333,15.008333,9.835093,1800,12.4,12.41,12.21,12.4,6.127286,403000
13/12/2001,15.008333,15.008333,15.008333,15.008333,9.835093,0,11.8,12.22,11.8,11.9,5.880221,146400
14/12/2001,15.008333,15.008333,15.008333,15.008333,9.835093,0,11.91,11.91,11.84,11.85,5.855513,1800
17/12/2001,14.946667,14.946667,14.946667,14.946667,9.835428,0,11.82,12,11.82,11.99,5.924693,8400
18/12/2001,15.008333,15.135,15.008333,15.135,9.959354,7800,11.96,12.15,11.96,12.15,6.003752,11100
19/12/2001,15.108333,15.233333,15.108333,15.233333,10.024061,14400,12.48,12.49,12.42,12.47,6.161879,1100
20/12/2001,15.233333,15.233333,15.233333,15.233333,10.024061,0,12.35,12.35,12,12,5.929633,35200
21/12/2001,15.233333,15.233333,15.233333,15.233333,10.024061,0,12,12.24,11.9,12.24,6.048227,3400
24/12/2001,15.5,15.5,15.5,15.5,10.199536,600,12.24,12.24,12.24,12.24,6.048227,200
26/12/2001,15.908333,15.908333,15.908333,15.908333,10.468231,600,12.25,12.34,12.25,12.34,6.097639,2000
27/12/2001,15.908333,15.908333,15.908333,15.908333,10.468231,0,12.58,12.6,12.48,12.6,6.226113,22200
28/12/2001,16.059999,16.059999,16.059999,16.059999,10.568037,600,12.97,12.97,12.77,12.77,6.31012,27700
31/12/2001,15.933333,15.933333,15.933333,15.933333,10.484682,6000,12.72,12.76,12.7,12.7,6.275528,9100
02/01/2002,15.933333,15.933333,15.933333,15.933333,10.484682,0,13.1,13.17,12.93,12.96,6.404005,51900
03/01/2002,15.933333,15.933333,15.933333,15.933333,10.484682,0,13.35,13.45,13.2,13.29,6.567068,72400
04/01/2002,15.7,15.73,15.7,15.73,10.350881,1800,13.3,13.35,13.19,13.19,6.517654,16100
07/01/2002,15.816667,15.816667,15.816667,15.816667,10.407911,1800,12.86,13.05,12.86,13.05,6.448477,38400
08/01/2002,15.65,15.65,15.65,15.65,10.298238,600,13,13.13,12.99,12.99,6.418829,36200
09/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,600,12.75,12.88,12.6,12.8,6.324943,21600
10/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,12.5,12.51,11.91,11.91,5.885161,65700
11/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,12.5,12.5,12.09,12.32,6.087757,95100
14/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,11.8,11.96,11.7,11.7,5.781393,42700
15/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,12,12,11.75,11.75,5.806098,5700
16/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,11.82,12.01,11.82,11.87,5.865394,34900
17/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,12.25,12.25,11.93,12.14,5.99881,1037800
18/01/2002,15.648333,15.648333,15.648333,15.648333,10.297145,0,12.21,12.3,12.21,12.29,6.072933,4600
22/01/2002,14.866667,14.866667,14.758333,14.761667,9.713683,10200,12.09,12.09,12.01,12.01,5.934573,500
23/01/2002,14.761667,14.761667,14.761667,14.761667,9.713683,0,12,12,11.94,11.97,5.91481,8200
24/01/2002,14.761667,14.761667,14.761667,14.761667,9.713683,0,12,12.03,11.94,11.94,5.899984,10900
25/01/2002,14.761667,14.761667,14.761667,14.761667,9.713683,0,11.75,11.99,11.71,11.98,5.919751,20300
28/01/2002,15.433333,15.433333,15.433333,15.433333,10.155666,14400,11.74,11.8,11.72,11.8,5.830806,800
29/01/2002,15.341667,15.341667,15.341667,15.341667,10.095348,600,11.89,11.89,11.31,11.49,5.677625,14700
30/01/2002,15.341667,15.341667,15.341667,15.341667,10.095348,0,11.6,11.6,11.17,11.49,5.677625,19900
31/01/2002,15.341667,15.341667,15.341667,15.341667,10.095348,0,11.58,11.58,11.55,11.55,5.707272,3900
01/02/2002,15.341667,15.341667,15.341667,15.341667,10.095348,0,11.5,11.69,11.5,11.57,5.717155,3800
04/02/2002,15.341667,15.341667,15.341667,15.341667,10.095348,0,11.57,12.5,11.28,11.42,5.643037,10900
05/02/2002,15.341667,15.341667,15.341667,15.341667,10.095348,0,11.54,11.54,11.52,11.52,5.692447,1700
06/02/2002,15.341667,15.341667,15.341667,15.341667,10.095348,0,11.53,11.7,11.53,11.6,5.731979,4600
